# script: ch06_full_grid.py
# seeds: 0
maturity,d,cp,anchor,method,DM,p,mspe_anchor,mspe_method
2,2,True,PCA+poly(LN-winner),"DvarSDR(joi,robust)+poly",-1.4369159433774912,0.15074187913295578,2.3846838360019738,2.8891733734613227
2,2,True,PCA+poly(LN-winner),"DvarSDR(seq,plain)+linear",-1.1283310687798909,0.259180127076871,2.3846838360019738,2.669085273647527
2,2,True,PCA+poly(LN-winner),"DvarSDR(seq,plain)+poly",-1.0571569652868158,0.2904399565814795,2.3846838360019738,2.695810977314749
2,2,True,PCA+poly(LN-winner),"DvarSDR(seq,robust)+linear",-1.5951236134520246,0.11068459598018765,2.3846838360019738,2.953441330744406
2,2,True,PCA+poly(LN-winner),"DvarSDR(seq,robust)+poly",-1.149426332793383,0.25038022698477613,2.3846838360019738,5.6279376275685955
2,2,True,PCA+poly(LN-winner),INPCA(k2)+linear,-0.8764135184358485,0.3808052718816586,2.3846838360019738,2.508092962116549
2,2,True,PCA+poly(LN-winner),INPCA(k2)+poly,-0.9638547769526578,0.3351187393781667,2.3846838360019738,2.5170577127658826
2,2,True,PCA+poly(LN-winner),INPCA(k3)+linear,-1.2221605694618733,0.22164691172032613,2.3846838360019738,2.5686148532427895
2,2,True,PCA+poly(LN-winner),INPCA(k3)+poly,-1.197516075055162,0.23110546577688584,2.3846838360019738,2.5621924057141148
2,2,True,PCA+poly(LN-winner),INPCA(k4)+linear,-1.3260457986914225,0.1848245277451288,2.3846838360019738,2.6568069223397535
2,2,True,PCA+poly(LN-winner),INPCA(k4)+poly,-1.344467472879041,0.17879726787054695,2.3846838360019738,2.657772883685428
2,2,True,PCA+poly(LN-winner),PCA+linear,-1.6608877009329288,0.09673600284325978,2.3846838360019738,2.6936232415770966
2,2,True,PCA+poly(LN-winner),PCA+poly,,,2.3846838360019738,2.3846838360019738
2,2,True,PCA+poly(LN-winner),PLS+linear,-0.9092264928682258,0.3632305825077966,2.3846838360019738,2.6127887624431243
2,2,True,PCA+poly(LN-winner),PLS+poly,-1.2510465238915474,0.21091750408056376,2.3846838360019738,2.689222490063317
2,2,True,PCA+poly(LN-winner),SAVE+linear,-1.1837734383212168,0.23650275933952525,2.3846838360019738,2.7412784841864832
2,2,True,PCA+poly(LN-winner),SAVE+poly,-0.8011322357181823,0.42305509606845004,2.3846838360019738,2.5607466093543563
2,2,True,PCA+poly(LN-winner),SIR+linear,-0.9395566342402909,0.3474450292474327,2.3846838360019738,2.620026022536669
2,2,True,PCA+poly(LN-winner),SIR+poly,-1.582454495879994,0.11354585245674675,2.3846838360019738,2.7836600162350544
2,2,False,INPCA(k3)+lin(G&S),DcorSDR(joint0.0)+linear,1.0367118879842008,0.29987015000899575,4.062622311977188,3.828981696825083
2,2,False,INPCA(k3)+lin(G&S),DcorSDR(joint0.0)+poly,1.031595849856016,0.302261485391226,4.062622311977188,3.8296641484854046
2,2,False,INPCA(k3)+lin(G&S),DcorSDR(joint0.5)+linear,1.1505089491913336,0.249934310421569,4.062622311977188,3.8102189976485
2,2,False,INPCA(k3)+lin(G&S),DcorSDR(joint0.5)+poly,0.9541548248374156,0.3400052778671303,4.062622311977188,3.85213387072733
2,2,False,INPCA(k3)+lin(G&S),DcorSDR(seqX)+linear,1.279268860444299,0.2008023942700401,4.062622311977188,3.751523073574512
2,2,False,INPCA(k3)+lin(G&S),DcorSDR(seqX)+poly,1.401339743305448,0.1611125018595132,4.062622311977188,3.6843850221623358
2,2,False,INPCA(k3)+lin(G&S),DcorSDR(seqY)+linear,1.1132529797587203,0.2655997945761084,4.062622311977188,3.810827912971931
2,2,False,INPCA(k3)+lin(G&S),DcorSDR(seqY)+poly,1.2710185485540246,0.20372204995641496,4.062622311977188,3.740376714667181
2,2,False,INPCA(k3)+lin(G&S),"DvarSDR(joi,plain)+linear",-2.3573847754008885,0.018404165908503467,4.062622311977188,4.79845017179738
2,2,False,INPCA(k3)+lin(G&S),"DvarSDR(joi,plain)+poly",-2.102810609756545,0.03548232821251052,4.062622311977188,4.56772389192816
2,2,False,INPCA(k3)+lin(G&S),"DvarSDR(joi,robust)+linear",-0.3393838273247972,0.7343206003288072,4.062622311977188,4.176819258001312
2,2,False,INPCA(k3)+lin(G&S),"DvarSDR(joi,robust)+poly",-0.36565783877999486,0.7146204102818834,4.062622311977188,4.188481905932595
2,2,False,INPCA(k3)+lin(G&S),"DvarSDR(seq,plain)+linear",-1.233792999966072,0.2172800485141264,4.062622311977188,4.349319262249624
2,2,False,INPCA(k3)+lin(G&S),"DvarSDR(seq,plain)+poly",-1.0364322223577855,0.3000005442563318,4.062622311977188,4.370560707152247
2,2,False,INPCA(k3)+lin(G&S),"DvarSDR(seq,robust)+linear",-1.726400865777532,0.08427532014429095,4.062622311977188,4.726446138825255
2,2,False,INPCA(k3)+lin(G&S),"DvarSDR(seq,robust)+poly",-1.1523228669339445,0.24918842374607952,4.062622311977188,9.324674109127155
2,2,False,INPCA(k3)+lin(G&S),INPCA(k2)+linear,1.0652823839662682,0.28674816208871956,4.062622311977188,3.6769930147038554
2,2,False,INPCA(k3)+lin(G&S),INPCA(k2)+poly,1.0789102664540307,0.28062773172463196,4.062622311977188,3.6985335465182017
2,2,False,INPCA(k3)+lin(G&S),INPCA(k3)+linear,,,4.062622311977188,4.062622311977188
2,2,False,INPCA(k3)+lin(G&S),INPCA(k3)+poly,-0.7494572969068312,0.45358162769826027,4.062622311977188,4.062654281278779
2,2,False,INPCA(k3)+lin(G&S),INPCA(k4)+linear,1.1003150733304516,0.27119486685945304,4.062622311977188,3.621001795490223
2,2,False,INPCA(k3)+lin(G&S),INPCA(k4)+poly,1.0312148126437182,0.30244009584696596,4.062622311977188,3.631688615507135
2,2,False,INPCA(k3)+lin(G&S),PCA+linear,0.10522534024885732,0.9161970037279044,4.062622311977188,4.033327549991068
2,2,False,INPCA(k3)+lin(G&S),PCA+poly,1.2454932838715005,0.2129504827306754,4.062622311977188,3.6158848744850665
2,2,False,INPCA(k3)+lin(G&S),PLS+linear,0.4391726693850721,0.660536426879905,4.062622311977188,3.973752719282403
