# script: ch06_full_grid.py
# seeds: 0
block,maturity,method,d,spec,cp,mspe,r2,bench,dcor_tr,dcor_te
PCA_ours,2,"DvarSDR(joi,plain)",2,poly,False,4.56772389192816,-0.011426863629174111,4.516118818061029,0.38658369503968026,0.1599408670207899
PCA_ours,2,"DvarSDR(joi,plain)",2,poly,True,2.6407701804245747,0.41525670895470934,4.516118818061029,0.38658369503968026,0.1599408670207899
PCA_ours,2,"DvarSDR(joi,plain)",3,linear,False,3.9658569922907048,0.12184396556833199,4.516118818061029,0.38658369503968026,0.1599408670207899
PCA_ours,2,"DvarSDR(joi,plain)",3,linear,True,2.7951236846405325,0.38107835571947957,4.516118818061029,0.38658369503968026,0.1599408670207899
PCA_ours,2,"DvarSDR(joi,plain)",3,poly,False,3.8425991143567746,0.14913684312527153,4.516118818061029,0.38658369503968026,0.1599408670207899
PCA_ours,2,"DvarSDR(joi,plain)",3,poly,True,2.6258967418813697,0.41855012065232067,4.516118818061029,0.38658369503968026,0.1599408670207899
PCA_ours,2,"DvarSDR(joi,plain)",4,linear,False,4.076142368398079,0.09742357705545301,4.516118818061029,0.38658369503968026,0.1599408670207899
PCA_ours,2,"DvarSDR(joi,plain)",4,linear,True,2.897688574295743,0.3583675073589295,4.516118818061029,0.38658369503968026,0.1599408670207899
PCA_ours,2,"DvarSDR(joi,plain)",4,poly,False,3.948373945722495,0.12571522034982507,4.516118818061029,0.38658369503968026,0.1599408670207899
PCA_ours,2,"DvarSDR(joi,plain)",4,poly,True,2.724121931055357,0.3968002081431188,4.516118818061029,0.38658369503968026,0.1599408670207899
PCA_ours,2,"DvarSDR(joi,plain)",5,linear,False,4.087805515512569,0.09484101721051574,4.516118818061029,0.38658369503968026,0.1599408670207899
PCA_ours,2,"DvarSDR(joi,plain)",5,linear,True,2.8460883754675974,0.3697932915127442,4.516118818061029,0.38658369503968026,0.1599408670207899
PCA_ours,2,"DvarSDR(joi,plain)",5,poly,False,3.95476740699184,0.12429952215256423,4.516118818061029,0.38658369503968026,0.1599408670207899
PCA_ours,2,"DvarSDR(joi,plain)",5,poly,True,2.669883088087183,0.4088102648208263,4.516118818061029,0.38658369503968026,0.1599408670207899
PCA_ours,2,"DvarSDR(joi,plain)",6,linear,False,3.966864318515175,0.12162091425700661,4.516118818061029,0.38658369503968026,0.1599408670207899
PCA_ours,2,"DvarSDR(joi,plain)",6,linear,True,2.8244890750586715,0.3745760045632833,4.516118818061029,0.38658369503968026,0.1599408670207899
PCA_ours,2,"DvarSDR(joi,plain)",6,poly,False,3.8592596242252264,0.14544772188208765,4.516118818061029,0.38658369503968026,0.1599408670207899
PCA_ours,2,"DvarSDR(joi,plain)",6,poly,True,2.674567755108451,0.40777294334856273,4.516118818061029,0.38658369503968026,0.1599408670207899
PCA_ours,2,"DvarSDR(joi,plain)",7,linear,False,4.0264968208631355,0.108416544586865,4.516118818061029,0.38658369503968026,0.1599408670207899
PCA_ours,2,"DvarSDR(joi,plain)",7,linear,True,2.8820627456916674,0.36182752008968067,4.516118818061029,0.38658369503968026,0.1599408670207899
PCA_ours,2,"DvarSDR(joi,plain)",7,poly,False,3.9184589533680687,0.13233926935287377,4.516118818061029,0.38658369503968026,0.1599408670207899
