# script: ch03_sir_initialisation.py
# seeds: 42, 7, 123, 2024, 5, 2026, 17, 99, 777, 31337
# n_restarts: 3
seed,p,nonlinearity,noise,start,angle,dcor2,spread
42,5,cubic,2.0,sir1,10.207021072718291,0.41276091385250935,
42,5,cubic,2.0,random,7.427310204505977,0.41804991254936585,1.158592329292274e-05
42,5,cubic,2.0,sir,7.30185538362057,0.4180498663722345,1.7954182240265126e-05
42,5,tanh,0.0,sir1,1.3443466532899315,0.9193551315345914,
42,5,tanh,0.0,random,0.9195299498243421,0.9202973603432943,0.00020057392958605647
42,5,tanh,0.0,sir,0.9473600101777488,0.920306425042362,0.00020963862865375216
42,5,tanh,0.5,sir1,4.625332773195376,0.6894531635607727,
42,5,tanh,0.5,random,3.87638274222879,0.6955272080230888,2.0775698521546815e-06
42,5,tanh,0.5,sir,3.87638274222879,0.6955272080230888,2.0399459940145803e-06
42,5,tanh,1.0,sir1,11.523493245759491,0.3932729313919997,
42,5,tanh,1.0,random,6.988218729157949,0.40046479125203704,2.0030901692502656e-05
42,5,tanh,1.0,sir,6.988218729157949,0.40046479125203704,6.145666400170224e-06
42,5,tanh,2.0,sir1,17.227327350144485,0.15320762474934166,
42,5,tanh,2.0,random,12.996945015121277,0.16388633548830284,0.00019575551689846038
42,5,tanh,2.0,sir,12.653713680658653,0.16387302890636912,0.00018244893496474623
42,20,square,0.0,sir1,88.15715828165088,0.025649205796982516,
42,20,square,0.0,random,8.530205545833432,0.3094829577459333,0.18891904038404056
42,20,square,0.0,sir,74.16894545439798,0.12080776088860341,0.0072872970967133716
42,20,square,0.5,sir1,75.04471711389637,0.08308355156383831,
42,20,square,0.5,random,9.95900510549772,0.23383112761067615,0.12154626628126312
42,20,square,0.5,sir,77.30034037023218,0.11241876504163108,0.0031917743944441246
42,20,square,1.0,sir1,82.41103199282807,0.07098324500561039,
42,20,square,1.0,random,12.412093824446492,0.1494912046319019,0.050387258496444376
42,20,square,1.0,sir,81.81459911847558,0.09988614741271147,0.0010671398524056686
42,20,square,2.0,sir1,75.24680807010022,0.014169285124037666,
42,20,square,2.0,random,85.24677115439255,0.08707091959186958,0.00871980094641428
42,20,square,2.0,sir,79.68875804639984,0.0889020112104409,0.0047947886457965355
42,20,sine,0.0,sir1,66.5450189469665,0.10723577172690296,
42,20,sine,0.0,random,67.93627462969629,0.13726656072187932,0.006721904717671839
42,20,sine,0.0,sir,68.0659057436669,0.1372897978550575,0.006745141850850012
42,20,sine,0.5,sir1,56.405164143773874,0.033356315057466654,
42,20,sine,0.5,random,63.58997550861865,0.11491094379552189,0.0003260368262359148
42,20,sine,0.5,sir,65.80101072409315,0.11474173518816412,0.00015682821887814946
42,20,sine,1.0,sir1,73.96363013703153,0.03089230513420638,
42,20,sine,1.0,random,69.06742104414025,0.07975447060203618,0.009057233136181633
42,20,sine,1.0,sir,69.12433630552914,0.07952961518225324,0.02026976974500433
42,20,sine,2.0,sir1,79.6563900515284,0.011040194012366323,
42,20,sine,2.0,random,78.07385943170604,0.06628381156499413,0.022052180414624797
42,20,sine,2.0,sir,78.07385943170604,0.06628381156499413,0.022052180414624797
42,20,abs,0.0,sir1,88.15715828165088,0.02442615304287576,
42,20,abs,0.0,random,7.286816507506153,0.324645495044332,0.20272500917120231
42,20,abs,0.0,sir,74.66718685851535,0.12441920824412424,0.0024987223709945633
42,20,abs,0.5,sir1,88.8014455989797,0.07408420890912787,
42,20,abs,0.5,random,88.49804834499159,0.11377220327309165,0.006420555187671498
42,20,abs,0.5,sir,84.48449174073058,0.10883360894079003,0.0014819608553698765
42,20,abs,1.0,sir1,74.36650429909798,0.015294164478047394,
42,20,abs,1.0,random,88.06928767878514,0.0986618717095634,0.013605169135257056
42,20,abs,1.0,sir,88.06928767878514,0.0986618717095634,0.013605169135257056
42,20,abs,2.0,sir1,52.957652159432946,0.008812501908993483,
42,20,abs,2.0,random,83.93997747865134,0.0798789473738774,0.02323472510253806
42,20,abs,2.0,sir,79.04991422395592,0.08701264725649366,0.01257308527238736
42,20,cubic,0.0,sir1,5.814285647985961,0.7789266096692158,
42,20,cubic,0.0,random,6.843053450490701,0.8026339003512766,5.2280032122875575e-05
42,20,cubic,0.0,sir,6.825689982325568,0.8026964873243584,6.707158318097761e-05
42,20,cubic,0.5,sir1,11.036155217076598,0.7147056375545282,
42,20,cubic,0.5,random,7.412031308242267,0.7358399551833522,0.00014699354318603586
42,20,cubic,0.5,sir,7.412031308242267,0.7358399551833522,1.2126846322568774e-05
42,20,cubic,1.0,sir1,11.717928514798617,0.5722082948118503,
42,20,cubic,1.0,random,10.76225046083975,0.589621844735427,0.00043435436731076305
42,20,cubic,1.0,sir,10.76225046083975,0.589621844735427,0.00043435436731076305
42,20,cubic,2.0,sir1,23.72397564952992,0.33483506339182467,
42,20,cubic,2.0,random,18.961549494482004,0.3556650298841058,5.216021956605532e-05
42,20,cubic,2.0,sir,19.058871575259833,0.35566137901088535,4.850934634559323e-05
42,20,tanh,0.0,sir1,5.814285647985961,0.9041590584356758,
42,20,tanh,0.0,random,5.444053815181274,0.936964068581461,1.3610908754402296e-05
42,20,tanh,0.0,sir,5.444053815181274,0.936964068581461,0.00011735191421524682
42,20,tanh,0.5,sir1,13.555716841342393,0.6561264467474974,
42,20,tanh,0.5,random,10.268465924176903,0.671964942767636,3.9670798119839645e-05
42,20,tanh,0.5,sir,10.189132268578652,0.6719723110166768,4.703904716063523e-05
42,20,tanh,1.0,sir1,20.31694763185027,0.3237980094700053,
