# script: ch04_shengyin_2016_design.py
# seeds: 20260813
# replicates: accuracy block: 100 at n=100, 25 at n=500; scaling block: 5 at each p
# n_perturb: 500
# n_restarts: 5
# max_iter: 150
# scaling_block: model A part 1, n=500, p in {6, 20, 50, 100}
# methods: dCor-PP (this thesis), Sheng-Yin (SQP), SIR, OLS
# design_source: wu2021mm pp.12-13, restating Sheng & Yin (2016)
block,model,part,n,p,d,rep,method,angle,delta_m,dcor2_u,seconds
accuracy,A,1,100,6,2,60,OLS,16.6659,,0.476025,0.0
accuracy,A,1,100,6,2,61,dCor-PP (this thesis),7.9687,0.197198,0.35522,0.067
accuracy,A,1,100,6,2,61,Sheng-Yin (SQP),7.122,0.174959,0.327372,0.06
accuracy,A,1,100,6,2,61,SIR,48.8264,0.998006,0.272596,0.0
accuracy,A,1,100,6,2,61,OLS,13.2205,,0.545065,0.0
accuracy,A,1,100,6,2,62,dCor-PP (this thesis),11.0249,0.28548,0.374955,0.067
accuracy,A,1,100,6,2,62,Sheng-Yin (SQP),7.3686,0.209576,0.30348,0.077
accuracy,A,1,100,6,2,62,SIR,46.4152,0.999999,0.251907,0.0
accuracy,A,1,100,6,2,62,OLS,23.3502,,0.452405,0.0
accuracy,A,1,100,6,2,63,dCor-PP (this thesis),2.9644,0.076829,0.339249,0.059
accuracy,A,1,100,6,2,63,Sheng-Yin (SQP),42.443,0.987507,0.260698,0.068
accuracy,A,1,100,6,2,63,SIR,45.4366,0.997349,0.259538,0.001
accuracy,A,1,100,6,2,63,OLS,12.0569,,0.482065,0.0
accuracy,A,1,100,6,2,64,dCor-PP (this thesis),9.0383,0.201831,0.282326,0.074
accuracy,A,1,100,6,2,64,Sheng-Yin (SQP),5.9909,0.155941,0.268584,0.075
accuracy,A,1,100,6,2,64,SIR,30.1864,0.801133,0.211125,0.001
accuracy,A,1,100,6,2,64,OLS,12.2549,,0.332099,0.0
accuracy,A,1,100,6,2,65,dCor-PP (this thesis),13.6742,0.285986,0.314361,0.065
accuracy,A,1,100,6,2,65,Sheng-Yin (SQP),7.5063,0.176952,0.273482,0.067
accuracy,A,1,100,6,2,65,SIR,26.7682,0.655885,0.249988,0.001
accuracy,A,1,100,6,2,65,OLS,19.1068,,0.413146,0.0
accuracy,A,1,100,6,2,66,dCor-PP (this thesis),6.5932,0.130724,0.282396,0.066
accuracy,A,1,100,6,2,66,Sheng-Yin (SQP),6.3496,0.121623,0.266853,0.068
accuracy,A,1,100,6,2,66,SIR,29.9127,0.843986,0.22281,0.0
accuracy,A,1,100,6,2,66,OLS,10.3147,,0.398592,0.0
accuracy,A,1,100,6,2,67,dCor-PP (this thesis),7.9643,0.155906,0.323811,0.057
accuracy,A,1,100,6,2,67,Sheng-Yin (SQP),10.3002,0.206142,0.276137,0.081
accuracy,A,1,100,6,2,67,SIR,47.2351,0.989657,0.180576,0.0
accuracy,A,1,100,6,2,67,OLS,19.2711,,0.271937,0.0
accuracy,A,1,100,6,2,68,dCor-PP (this thesis),10.5982,0.284568,0.295723,0.068
accuracy,A,1,100,6,2,68,Sheng-Yin (SQP),6.7629,0.17721,0.310789,0.067
accuracy,A,1,100,6,2,68,SIR,16.8566,0.506722,0.255124,0.0
accuracy,A,1,100,6,2,68,OLS,14.7342,,0.376781,0.0
accuracy,A,1,100,6,2,69,dCor-PP (this thesis),7.3673,0.144837,0.351175,0.073
accuracy,A,1,100,6,2,69,Sheng-Yin (SQP),8.5992,0.202771,0.341145,0.071
accuracy,A,1,100,6,2,69,SIR,46.3269,0.99549,0.299079,0.0
accuracy,A,1,100,6,2,69,OLS,10.4054,,0.539805,0.0
accuracy,A,1,100,6,2,70,dCor-PP (this thesis),7.6551,0.178965,0.257534,0.054
accuracy,A,1,100,6,2,70,Sheng-Yin (SQP),4.5195,0.091475,0.246197,0.063
accuracy,A,1,100,6,2,70,SIR,21.6305,0.638849,0.204267,0.0
accuracy,A,1,100,6,2,70,OLS,17.3092,,0.354681,0.0
accuracy,A,1,100,6,2,71,dCor-PP (this thesis),11.3553,0.316636,0.365998,0.073
accuracy,A,1,100,6,2,71,Sheng-Yin (SQP),10.5702,0.28271,0.336338,0.073
accuracy,A,1,100,6,2,71,SIR,24.5383,0.495442,0.318719,0.0
accuracy,A,1,100,6,2,71,OLS,16.2547,,0.48059,0.001
accuracy,A,1,100,6,2,72,dCor-PP (this thesis),4.4558,0.097556,0.338114,0.07
accuracy,A,1,100,6,2,72,Sheng-Yin (SQP),5.5006,0.12365,0.269978,0.07
accuracy,A,1,100,6,2,72,SIR,41.0265,0.971301,0.223138,0.0
